form	lemma	POS	morph
སྐབས་	སྐབས་	NOUN
གཉིས་པ་	གཉིས་པ་	NUM
ལམ་ཤེས་	ལམ་ཤེས་	NO_POS
ཀྱི་	གི་	PART
རྣམ་པ་	རྣམ་པ་	NOUN
སོ་	གོ་	PART
དྲུག་	དྲུག་	NUM
ནི་	ནི་	NO_POS
།		PUNCT
རྒྱུ་	རྒྱུ་	NOUN
དང་	དང་	NO_POS
ལམ་	གམ་	PART
དང་	དང་	NO_POS
སྡུག་བསྔལ་	སྡུག་བསྔལ་	NOUN
དང་	དང་	NO_POS
།།		PUNCT
འགོག་པ་	འགོག་པ་	VERB
ལ་	ལ་	PART
ནི་	ནི་	NO_POS
གོ་རིམས་	གོ་རིམས་	NOUN
བཞིན་	བཞིན་	NOUN
།།		PUNCT
དེ་དག་	དེ་དག་	OTHER
བརྒྱད་	བརྒྱད་	NUM
དང་	དང་	NO_POS
བདུན་	བདུན་	NUM
དང་	དང་	NO_POS
ནི་	ནི་	NO_POS
།།		PUNCT
ལྔ་	ལྔ་	NUM
དང་	དང་	NO_POS
བཅུ་དྲུག་	བཅུ་དྲུག་	NO_POS
ཅེས་	ཅེས་	PART
བསྒྲགས་	བསྒྲགས་	NO_POS
སོ་	གོ་	PART
།།		PUNCT
		
ཅེས་	ཅེས་	PART
སོ་	གོ་	PART
།།		PUNCT
གསུམ་པ་	གསུམ་པ་	NUM
རྣམ་མཁྱེན་	རྣམ་མཁྱེན་	NOUN
གྱི་	གི་	PART
རྣམ་པ་	རྣམ་པ་	NOUN
ནི་	ནི་	NO_POS
།		PUNCT
དྲན་པ་	དྲན་པ་	VERB
ཉེ་	ཉེ་	NUM
གཞག་	གཞག་	VERB
ན་	ནས་	PART
བཟུང་	བཟུང་	NO_POS
སྟེ་	སྟེ་	PART
།།		PUNCT
སངས་རྒྱས་	སངས་རྒྱས་	NOUN
རྣམ་པ་	རྣམ་པ་	NOUN
འི་	གི་	PART
མཐར་ཐུག་	མཐར་ཐུག་	NOUN
རྣམས་	རྣམས་	DET
།།		PUNCT
ལམ་	གམ་	PART
གྱི་	གི་	PART
བདེན་པ་	བདེན་པ་	VERB
འི་	གི་	PART
རྗེས་	རྗེས་	NOUN
མཐུན་པ་	མཐུན་པ་	VERB
ར་	ལ་	PART
།།		PUNCT
ཀུན་མཁྱེན་	ཀུན་མཁྱེན་	OTHER
གསུམ་	གསུམ་	NUM
དུ་	ལ་	PART
ཕྱེ་བ་	ཕྱེ་བ་	VERB
ས་	གིས་	PART
ན་	ལ་	PART
།།		PUNCT
		
སློབ་མ་	སློབ་མ་	NOUN
བྱང་ཆུབ་	བྱང་ཆུབ་	NOUN
སེམས་དཔའ་	སེམས་དཔའ་	NOUN
དང་	དང་	NO_POS
།།		PUNCT
སངས་རྒྱས་	སངས་རྒྱས་	NOUN
རྣམས་	རྣམས་	DET
ལ་	ལ་	PART
རིམ་བཞིན་	རིམ་བཞིན་	NO_POS
དུ་	ལ་	PART
།།		PUNCT
སུམ་ཅུ་	སུམ་ཅུ་	OTHER
བདུན་	བདུན་	NUM
དང་	དང་	NO_POS
སུམ་ཅུ་	སུམ་ཅུ་	OTHER
བཞི་	བཞི་	NUM
།།		PUNCT
སུམ་ཅུ་	སུམ་ཅུ་	OTHER
རྩ་	རྩ་	NUM
དགུ་	དགུ་	NUM
དག་	དག་	DET
ཏུ་	ལ་	PART
བཞེད་	བཞེད་	VERB
།།		PUNCT
		
ཅེས་	ཅེས་	PART
སོ་	གོ་	PART
།།		PUNCT
གཉིས་པ་	གཉིས་པ་	NUM
བསྒོམ་	བསྒོམ་	VERB
མཁྱེན་	མཁྱེན་	VERB
གང་ཟག་	གང་ཟག་	NOUN
ནི་	ནི་	NO_POS
།		PUNCT
སངས་རྒྱས་	སངས་རྒྱས་	NOUN
རྣམས་	རྣམས་	DET
ལ་	ལ་	PART
ལྷག་པ་		
བྱ་	བྱ་	VERB
།།		PUNCT
དེ་	སྟེ་	PART
ལ་	ལ་	PART
དགེ་བ་	དགེ་བ་	VERB
འི་	གི་	PART
རྩ་བ་	རྩ་བ་	NOUN
བསྐྲུན་	བསྐྲུན་	NO_POS
།།		PUNCT
དགེ་བ་	དགེ་བ་	VERB
འི་	གི་	PART
བཤེས་	བཤེས་	VERB
ཀྱི་	གི་	PART
མགོན་	མགོན་	NOUN
བཅས་པ་	བཅས་པ་	VERB
།།		PUNCT
འདི་	འདི་	DET
མཉན་པ་	མཉན་པ་	VERB
ཡི་	གི་	PART
སྣོད་	སྣོད་	NOUN
ཡིན་	ཡིན་	NO_POS
ནོ་	གོ་	PART
།།		PUNCT
		
སངས་རྒྱས་	སངས་རྒྱས་	NOUN
བསྟན་	བསྟན་	VERB
དང་	དང་	NO_POS
ཀུན་	ཀུན་	DET
འདྲི་	འདྲི་	NO_POS
དང་	དང་	NO_POS
།།		PUNCT
སྦྱིན་	སྦྱིན་	VERB
དང་	དང་	NO_POS
ཚུལ་ཁྲིམས་	ཚུལ་ཁྲིམས་	NOUN
སོགས་	སོགས་	DET
སྤྱོད་པ་	སྤྱོད་པ་	VERB
ས་	གིས་	PART
།།		PUNCT
ལེན་	ལེན་	VERB
དང་	དང་	NO_POS
འཛིན་	འཛིན་	VERB
ལ་སོགས་པ་	ལ་སོགས་པ་	NO_POS
ཡི་	གི་	PART
།།		PUNCT
སྣོད་	སྣོད་	NOUN
དུ་	ལ་	PART
དམ་པ་	དམ་པ་	VERB
རྣམས་	རྣམས་	DET
བཞེད་	བཞེད་	VERB
དོ་	གོ་	PART
།།		PUNCT
		
ཅེས་	ཅེས་	PART
སོ་	གོ་	PART
།།		PUNCT
གསུམ་པ་	གསུམ་པ་	NUM
སྦྱོར་བ་	སྦྱོར་བ་	VERB
འི་	གི་	PART
རབ་	རབ་	ADV
དབྱེ་	དབྱེ་	VERB
ནི་	ནི་	NO_POS
།		PUNCT
གཟུགས་	གཟུགས་	NOUN
ལ་སོགས་	ལ་སོགས་	NO_POS
ལ་	ལ་	PART
མི་	མི་	PART
གནས་	གནས་	NOUN
ཕྱི་	ཕྱི་	OTHER
།།		PUNCT
དེ་	སྟེ་	PART
ལ་	ལ་	PART
སྦྱོར་བ་	སྦྱོར་བ་	VERB
བཀག་པ་	བཀག་པ་	VERB
འི་	གི་	PART
ཕྱི་	ཕྱི་	OTHER
།།		PUNCT
དེ་	སྟེ་	PART
ཡི་	གི་	PART
དེ་བཞིན་ཉིད་	དེ་བཞིན་ཉིད་	NOUN
ཟབ་	ཟབ་	VERB
ཕྱི་	ཕྱི་	OTHER
།།		PUNCT
དེ་	སྟེ་	PART
རྣམས་	རྣམས་	DET
གཏིང་དཔག་	གཏིང་དཔག་	NO_POS
དཀའ་བ་	དཀའ་བ་	VERB
འི་	གི་	PART
ཕྱི་	ཕྱི་	OTHER
།།		PUNCT
		
དེ་དག་	དེ་དག་	OTHER
ཚད་	ཚད་	NOUN
ནི་	ནི་	NO_POS
མེད་	མེད་	VERB
ཕྱི་	ཕྱི་	OTHER
དང་	དང་	NO_POS
།།		PUNCT
ཚེགས་	ཚེགས་	NOUN
ཆེན་	ཆེན་	NO_POS
ཡུན་རིང་	ཡུན་རིང་	NOUN
རྟོགས་པ་	རྟོགས་པ་	VERB
འི་	གི་	PART
ཕྱི་	ཕྱི་	OTHER
།།		PUNCT
ལུང་བསྟན་	ལུང་བསྟན་	NOUN
ཕྱི་	ཕྱི་	OTHER
མི་	མི་	PART
ལྡོག་	ལྡོག་	VERB
ཉིད་	ཉིད་	DET
དང་	དང་	NO_POS
།།		PUNCT
ངེས་འབྱུང་	ངེས་འབྱུང་	NOUN
བར་ཆད་	བར་ཆད་	NOUN
མེད་	མེད་	VERB
བཅད་	བཅད་	VERB
དང་	དང་	NO_POS
།།		PUNCT
		
བྱང་ཆུབ་	བྱང་ཆུབ་	NOUN
ཉེ་	ཉེ་	VERB
དང་	དང་	NO_POS
མྱུར་བ་	མྱུར་བ་	VERB
དང་	དང་	NO_POS
།།		PUNCT
གཞན་དོན་	གཞན་དོན་	NOUN
འཕེལ་	འཕེལ་	VERB
མེད་	མེད་	VERB
འགྲིབ་	འགྲིབ་	VERB
མེད་	མེད་	VERB
ཕྱི་	ཕྱི་	OTHER
།།		PUNCT
ཆོ་	ཆོ་	NOUN
དང་	དང་	NO_POS
ཆོ་	ཆོ་	NOUN
མིན་	མིན་	AUX
སོགས་	སོགས་	DET
མི་	མི་	PART
མཐོང་	མཐོང་	VERB
།།		PUNCT
གཟུགས་	གཟུགས་	NOUN
སོགས་	སོགས་	DET
བསམ་	བསམ་	NOUN
མི་	མི་	PART
ཁྱབ་	ཁྱབ་	VERB
མི་	མི་	PART
མཐོང་	མཐོང་	VERB
།།		PUNCT
		
གཟུགས་	གཟུགས་	NOUN
སོགས་	སོགས་	DET
དེ་	སྟེ་	PART
ཡི་	གི་	PART
མཚན་མ་	མཚན་མ་	NOUN
དང་	དང་	NO_POS
།།		PUNCT
དེ་	སྟེ་	PART
ཡི་	གི་	PART
ངོ་བོ་	ངོ་བོ་	NOUN
ར་	ལ་	PART
རྣམ་	རྣམ་	NOUN
མི་	མི་	PART
རྟོག་	རྟོག་	VERB
།		PUNCT
འབྲས་བུ་	འབྲས་བུ་	NOUN
རིན་ཆེན་	རིན་ཆེན་	OTHER
སྦྱིན་བྱེད་	སྦྱིན་བྱེད་	NOUN
དང་	དང་	NO_POS
།།		PUNCT
དེ་	སྟེ་	PART
ནི་	ནི་	NO_POS
དག་པ་	དག་པ་	VERB
མཚམས་	མཚམས་	NOUN
དང་	དང་	NO_POS
བཅའ་	བཅའ་	VERB
།།		PUNCT
		
ཞེ་	ཅེས་	PART
སོ་	གོ་	PART
།།		PUNCT
བཞི་པ་	བཞི་པ་	ADJ
སྔོན་འགྲོ་	སྔོན་འགྲོ་	NOUN
འི་	གི་	PART
ཆོ་	ཆོ་	NOUN
ལ་	ལ་	PART
བཞི་	བཞི་	NUM
།		PUNCT
སྦྱོར་བ་	སྦྱོར་བ་	VERB
འི་	གི་	PART
ཡོན་ཏན་	ཡོན་ཏན་	NOUN
།		PUNCT
སྦྱོར་བ་	སྦྱོར་བ་	VERB
འི་	གི་	PART
སྐྱོན་	སྐྱོན་	NOUN
།		PUNCT
ནུས་པ་	ནུས་པ་	VERB
མཚན་ཉིད་	མཚན་ཉིད་	NOUN
།		PUNCT
ཐར་པ་	ཐར་པ་	VERB
ཆ་	ཆ་	NOUN
མཐུན་	མཐུན་	VERB
ནོ་	གོ་	PART
། །		PUNCT
དང་པོ་	དང་པོ་	ADJ
ཡོན་ཏན་	ཡོན་ཏན་	NOUN
ནི་	ནི་	NO_POS
།		PUNCT
བདུད་	བདུད་	NOUN
ཀྱི་	གི་	PART
མཐུ་	མཐུ་	NOUN
བཅོམ་	བཅོམ་	VERB
ལ་སོགས་པ་	ལ་སོགས་པ་	NO_POS
།།		PUNCT
ཡོན་ཏན་	ཡོན་ཏན་	NOUN
རྣམ་པ་	རྣམ་པ་	NOUN
བཅུ་བཞི་	བཅུ་བཞི་	NO_POS
འོ་	གོ་	PART
།།		PUNCT
ཞེ་	ཅེས་	PART
སོ་	གོ་	PART
།།		PUNCT
གཉིས་པ་	གཉིས་པ་	NUM
སྐྱོན་	སྐྱོན་	NOUN
ནི་	ནི་	NO_POS
།		PUNCT
སྐྱོན་	སྐྱོན་	NOUN
ནི་	ནི་	NO_POS
བཅུ་	བཅུ་	NUM
ཚན་	ཚན་	NOUN
བཞི་	བཞི་	NUM
ར་	ལ་	PART
བཅས་པ་	བཅས་པ་	VERB
།།		PUNCT
དྲུག་	དྲུག་	NUM
ཏུ་	ལ་	PART
ངེས་པ་		
རྟོགས་པ་	རྟོགས་པ་	VERB
ར་	ལ་	PART
བྱ་	བྱ་	VERB
།།		PUNCT
		
ཞེ་	ཅེས་	PART
སོ་	གོ་	PART
།།		PUNCT
གསུམ་པ་	གསུམ་པ་	NUM
ནུས་པ་	ནུས་པ་	VERB
མཚན་ཉིད་	མཚན་ཉིད་	NOUN
ལ་	ལ་	PART
གཉིས་	གཉིས་	NUM
།		PUNCT
མདོ་	མདོ་	NOUN
ར་	ལ་	PART
བསྟན་	བསྟན་	VERB
།		PUNCT
རྒྱས་བཤད་	རྒྱས་བཤད་	NOUN
དོ་	གོ་	PART
། །		PUNCT
དང་པོ་	དང་པོ་	ADJ
མདོ་	མདོ་	NOUN
ར་	ལ་	PART
བསྟན་	བསྟན་	VERB
ནི་	ནི་	NO_POS
།		PUNCT
གང་	གང་	NO_POS
གི་	གི་	PART
མཚོན་	མཚོན་	NOUN
ཏེ་	སྟེ་	PART
མཚན་ཉིད་	མཚན་ཉིད་	NOUN
དུ་	ལ་	PART
།།		PUNCT
ཤེས་བྱ་	ཤེས་བྱ་	VERB
དེ་ཡང་	དེ་ཡང་	ADV
རྣམ་པ་	རྣམ་པ་	NOUN
གསུམ་	གསུམ་	NUM
།།		PUNCT
ཤེས་པ་	ཤེས་པ་	VERB
ཁྱད་པར་	ཁྱད་པར་	NOUN
བྱེད་པ་	བྱེད་པ་	VERB
སྟེ་	སྟེ་	PART
།།		PUNCT
ངོ་བོ་	ངོ་བོ་	NOUN
ཉིད་	ཉིད་	DET
གང་	གང་	NO_POS
མཚོན་བྱ་	མཚོན་བྱ་	OTHER
ཡང་	ཀྱང་	PART
།།		PUNCT
		
ཞེ་	ཅེས་	PART
སོ་	གོ་	PART
།།		PUNCT
གཉིས་པ་	གཉིས་པ་	NUM
རྒྱས་བཤད་	རྒྱས་བཤད་	NOUN
ལ་	ལ་	PART
དྲུག་	དྲུག་	NUM
།		PUNCT
ཤེས་པ་	ཤེས་པ་	VERB
འི་	གི་	PART
རྣམ་པ་	རྣམ་པ་	NOUN
འི་	གི་	PART
བྱེ་བྲག་	བྱེ་བྲག་	NOUN
བཅུ་དྲུག་	བཅུ་དྲུག་	NO_POS
གིས་	གིས་	PART
ཐམས་ཅད་	ཐམས་ཅད་	DET
ཤེས་པ་	ཤེས་པ་	VERB
འི་	གི་	PART
མཚན་ཉིད་	མཚན་ཉིད་	NOUN
།		PUNCT
ཤེ་	ཤེ་	VERB
རྣམ་	རྣམ་	NOUN
བཅུ་དྲུག་	བཅུ་དྲུག་	NO_POS
གིས་	གིས་	PART
ལམ་ཤེས་	ལམ་ཤེས་	NO_POS
ཀྱི་	གི་	PART
མཚན་ཉིད་	མཚན་ཉིད་	NOUN
།		PUNCT
ཤེ་	ཤེ་	VERB
རྣམ་	རྣམ་	NOUN
བཅུ་དྲུག་	བཅུ་དྲུག་	NO_POS
གིས་	གིས་	PART
རྣམ་མཁྱེན་	རྣམ་མཁྱེན་	NOUN
གྱི་	གི་	PART
མཚན་ཉིད་	མཚན་ཉིད་	NOUN
།		PUNCT
ཁྱད་པར་	ཁྱད་པར་	NOUN
བཅུ་དྲུག་	བཅུ་དྲུག་	NO_POS
གི་	གི་	PART
མཚན་ཉིད་	མཚན་ཉིད་	NOUN
།		PUNCT
བྱེད་པ་	བྱེད་པ་	VERB
འི་	གི་	PART
མཚན་ཉིད་	མཚན་ཉིད་	NOUN
།		PUNCT
དེ་	དེ་	DET
འི་	གི་	PART
ངོ་བོ་	ངོ་བོ་	NOUN
ཉིད་	ཉིད་	DET
ཀྱི་	གི་	PART
མཚན་ཉིད་	མཚན་ཉིད་	NOUN
དོ་	གོ་	PART
། །		PUNCT
དང་པོ་	དང་པོ་	ADJ
ཤེས་པ་	ཤེས་པ་	VERB
འི་	གི་	PART
བྱེ་བྲག་	བྱེ་བྲག་	NOUN
བཅུ་དྲུག་	བཅུ་དྲུག་	NO_POS
གིས་	གིས་	PART
ཐམས་ཅད་	ཐམས་ཅད་	DET
ཤེས་པ་	ཤེས་པ་	VERB
ཉིད་	ཉིད་	DET
ཀྱི་	གི་	PART
མཚན་ཉིད་	མཚན་ཉིད་	NOUN
བསྟན་པ་	བསྟན་པ་	VERB
ནི་	ནི་	NO_POS
།		PUNCT
དེ་བཞིན་	དེ་བཞིན་	OTHER
གཤེགས་པ་	གཤེགས་པ་	VERB
འབྱུང་བ་	འབྱུང་བ་	VERB
དང་	དང་	NO_POS
།།		PUNCT
འཇིག་རྟེན་	འཇིག་རྟེན་	NOUN
འཇིག་	འཇིག་	VERB
མེད་	མེད་	VERB
བདག་ཉིད་	བདག་ཉིད་	NOUN
དང་	དང་	NO_POS
།།		PUNCT
སེམས་ཅན་	སེམས་ཅན་	NOUN
སེམས་	སེམས་	NOUN
ཀྱི་	གི་	PART
སྤྱོད་པ་	སྤྱོད་པ་	VERB
དང་	དང་	NO_POS
།།		PUNCT
དེ་	སྟེ་	PART
བསྡུས་པ་	བསྡུས་པ་	VERB
དང་	དང་	NO_POS
ཕྱི་	ཕྱི་	OTHER
ལྟ་	ལྟ་	NOUN
དང་	དང་	NO_POS
།།		PUNCT
		
མི་བཟད་པ་	མི་བཟད་པ་	NO_POS
ཡི་	གི་	PART
རྣམ་པ་	རྣམ་པ་	NOUN
དང་	དང་	NO_POS
།།		PUNCT
ཆགས་	ཆགས་	VERB
བཅའ་	བཅའ་	VERB
སོགས་	སོགས་	DET
དང་	དང་	NO_POS
རྒྱ་	རྒྱ་	NOUN
ཆེན་	ཆེན་	NO_POS
དང་	དང་	NO_POS
།།		PUNCT
ཆེན་པོ་	ཆེན་པོ་	ADJ
ར་	ལ་	PART
གྱུར་	གྱུར་	VERB
དང་	དང་	NO_POS
ཚད་	ཚད་	NOUN
མེད་	མེད་	VERB
དང་	དང་	NO_POS
།།		PUNCT
རྣམ་ཤེས་	རྣམ་ཤེས་	NOUN
བསྟན་	བསྟན་	VERB
དུ་	ལ་	PART
མེད་པ་	མེད་པ་	VERB
དང་	དང་	NO_POS
།།		PUNCT
		
སེམས་	སེམས་	NOUN
བལྟ་	བལྟ་	VERB
ར་	ལ་	PART
མེད་	མེད་	VERB
དང་	དང་	NO_POS
ཤེས་པ་	ཤེས་པ་	VERB
དེ་	སྟེ་	PART
།།		PUNCT
གཡོ་བ་	གཡོ་བ་	VERB
ལ་སོགས་	ལ་སོགས་	NO_POS
ཤེས་བྱ་	ཤེས་བྱ་	VERB
དང་	དང་	NO_POS
།།		PUNCT
དེ་ལས་	དེ་ལས་	NO_POS
གཞན་	གཞན་	DET
ཡང་	ཀྱང་	PART
དེ་	སྟེ་	PART
དགནི་		NON_WORD
།།		PUNCT
དེ་བཞིན་ཉིད་	དེ་བཞིན་ཉིད་	NOUN
ཀྱི་	གི་	PART
རྣམ་པ་	རྣམ་པ་	NOUN
ར་	ལ་	PART
ཤེ་	ཤེ་	VERB
།།		PUNCT
		
ཐུབ་པ་	ཐུབ་པ་	VERB
ས་	གིས་	PART
དེ་བཞིན་ཉིད་	དེ་བཞིན་ཉིད་	NOUN
རྟོགས་	རྟོགས་	VERB
ཏེ་	སྟེ་	PART
།།		PUNCT
གཞན་	གཞན་	DET
ལ་	ལ་	PART
བསྟན་པ་	བསྟན་པ་	VERB
ཞེ་	ཅེས་	PART
བྱ་	བྱ་	VERB
འདི་	འདི་	DET
།།		PUNCT
ཐམས་ཅད་	ཐམས་ཅད་	DET
ཤེས་པ་	ཤེས་པ་	VERB
ཉིད་	ཉིད་	DET
སྐབས་	སྐབས་	NOUN
ཀྱི་	གི་	PART
།།		PUNCT
ཤེས་པ་	ཤེས་པ་	VERB
འི་	གི་	PART
མཚན་ཉིད་	མཚན་ཉིད་	NOUN
བསྡུས་པ་	བསྡུས་པ་	VERB
ཡིན་	ཡིན་	NO_POS
།།		PUNCT
		
ཅེས་	ཅེས་	PART
སོ་	གོ་	PART
།།		PUNCT
གཉིས་པ་	གཉིས་པ་	NUM
ཤེ་	ཤེ་	VERB
རྣམ་	རྣམ་	NOUN
བཅུ་དྲུག་	བཅུ་དྲུག་	NO_POS
གིས་	གིས་	PART
ལམ་ཤེས་	ལམ་ཤེས་	NO_POS
ཀྱི་	གི་	PART
མཚན་ཉིད་	མཚན་ཉིད་	NOUN
བསྟན་པ་	བསྟན་པ་	VERB
ནི་	ནི་	NO_POS
།		PUNCT
སྟོང་ཉིད་	སྟོང་ཉིད་	NOUN
